DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'015809",5,15.6,32,8,3.1,261,0,0,98,257,38.1,46,17.6,10,3.8,0,0,13,5,253,96.9,134,51.3,1,0.4,0,0,0,233,89.3,0,0,4,1.5,0,0,53,20.3,127,48.7,2,0.8,4,1.5,8,3.1,1,0.4,240,92,18,6.9,261,100,4,1.5,0,0,0,0,13,5,46,17.6,0,0,18,6.9
"'015814",8,44.4,18,6,6.5,93,0,0,64,106,60.4,3,3.2,3,3.2,0,0,0,0,84,90.3,46,49.5,0,0,93,0,0,86,92.5,0,0,0,0,0,0,3,3.2,47,50.5,0,0,3,3.2,9,9.7,0,0,85,91.4,20,21.5,93,100,0,0,12,12.9,12,12.9,4,4.3,3,3.2,0,0,20,21.5
"'015815",5,8.3,60,40,7,572,1,0.2,98,457,21.4,284,49.7,40,7,0,0,10,1.7,457,79.9,275,48.1,2,0.3,190,10,1.7,473,82.7,6,1,0,0,5,0.9,287,50.2,297,51.9,0,0,11,1.9,115,20.1,0,0,466,81.5,48,8.4,572,100,12,2.1,175,92.1,262,45.8,41,7.2,284,49.7,10,1.7,48,8.4
"'015822",53,9.6,553,389,6.7,5764,31,0.5,1646,5701,28.9,1407,24.4,340,5.9,0,0,244,4.2,4826,83.7,2891,50.2,11,0.2,789,358,6.2,4942,85.7,52,0.9,70,1.2,26,0.5,1497,26,2873,49.8,6,0.1,97,1.7,938,16.3,0,0,4316,74.9,482,8.4,5764,100,70,1.2,611,77.4,1369,23.8,355,6.2,1407,24.4,358,6.2,482,8.4
"'015825",3,7.5,40,28,6.9,408,4,1,84,251,33.5,115,28.2,29,7.1,0,0,22,5.4,370,90.7,197,48.3,2,0.5,55,12,2.9,355,87,21,5.1,1,0.2,0,0,115,28.2,211,51.7,0,0,18,4.4,38,9.3,1,0.2,325,79.7,51,12.5,408,100,3,0.7,41,74.5,94,23,16,3.9,116,28.4,12,2.9,51,12.5
"'015827",44,11.9,369,192,4.8,3972,117,2.9,903,3045,29.7,780,19.6,982,24.7,0,0,153,3.9,2386,60.1,1825,45.9,10,0.3,365,260,6.5,1996,50.3,21,0.5,23,0.6,34,0.9,813,20.5,2147,54.1,2,0.1,41,1,1586,39.9,7,0.2,1083,27.3,403,10.1,3743,94.2,132,3.3,308,84.4,1215,30.6,704,17.7,780,19.6,260,6.5,403,10.1
"'015828",38,8.2,461,268,6,4459,33,0.7,716,3707,19.3,1691,37.9,185,4.1,0,0,138,3.1,3839,86.1,2083,46.7,0,0,1355,330,7.4,4046,90.7,67,1.5,0,0,3,0.1,1763,39.5,2376,53.3,6,0.1,5,0.1,620,13.9,0,0,2359,52.9,429,9.6,4459,100,46,1,1256,92.7,1359,30.5,146,3.3,1691,37.9,330,7.4,429,9.6
"'015830",41,8.6,475,191,6.1,3141,104,3.3,712,2914,24.4,249,7.9,185,5.9,0,0,98,3.1,1998,63.6,1547,49.3,2,0.1,696,257,8.2,2514,80,0,0,11,0.4,7,0.2,216,6.9,1594,50.7,6,0.2,114,3.6,1143,36.4,3,0.1,926,29.5,449,14.3,1430,45.5,51,1.6,517,74.3,633,20.2,277,8.8,249,7.9,257,8.2,449,14.3
"'015831",57,12,475,263,5,5288,373,7.1,1256,4603,27.3,852,16.1,1229,23.2,0,0,200,3.8,3418,64.6,2487,47,8,0.2,345,406,7.7,2802,53,35,0.7,67,1.3,9,0.2,874,16.5,2801,53,1,0,40,0.8,1870,35.4,5,0.1,1164,22,491,9.3,5288,100,134,2.5,328,95.1,1424,26.9,736,13.9,852,16.1,406,7.7,491,9.3
"'015833",2,18.2,11,16,17.2,93,1,1.1,25,82,30.5,0,0,3,3.2,0,0,0,0,43,46.2,75,80.6,0,0,93,0,0,78,83.9,0,0,0,0,0,0,0,0,18,19.4,0,0,1,1.1,50,53.8,0,0,54,58.1,5,5.4,93,100,3,3.2,69,74.2,69,74.2,8,8.6,0,0,0,0,5,5.4
